PE,AT,V,AP,RH,atribute5,atribute6,atribute7,atribute8,atribute9
1007,28,25,57,19,99,67,9,436,99
1011,12,26,39,96,79,79,6,470,87
1027,14,55,42,74,29,66,64,457,77
1005,24,57,51,95,8,70,7,448,15
1007,10,25,41,26,44,98,8,476,3
1007,21,96,51,43,28,89,96,442,87
1010,9,82,39,64,79,69,22,477,93
1016,18,58,44,6,61,48,15,459,6
1008,20,57,44,9,39,62,69,456,18
1024,8,61,41,4,81,95,6,473,62
1022,9,99,43,52,95,99,67,473,64
1012,13,97,52,5,5,85,36,463,64
1011,16,76,43,67,27,70,55,462,44
1014,25,58,47,1,5,63,53,454,39
1007,17,34,46,48,18,83,15,452,6
1012,19,13,66,86,95,71,24,453,31
1020,12,75,40,64,44,83,17,466,93
1003,29,46,49,3,88,54,1,436,37
1024,15,59,52,75,3,59,93,458,87
1012,14,2,43,2,18,57,7,470,67
1011,14,5,40,35,52,66,21,475,54
1014,32,35,77,95,76,60,88,432,72
1007,21,41,56,9,3,79,41,441,41
1008,10,61,37,5,8,100,13,472,9
1004,19,13,40,79,47,91,7,457,83
1018,17,28,44,6,15,66,93,462,5
1008,24,79,50,78,78,61,88,445,3
1006,28,66,50,5,8,47,74,435,94
1011,12,91,41,16,9,89,19,472,71
1015,17,32,43,7,13,61,66,464,5
1018,18,74,59,21,3,91,55,449,77
1006,26,69,70,36,82,68,29,435,4
1005,12,28,40,55,72,98,56,472,47
1007,14,46,44,78,64,67,3,459,31
999,30,54,70,17,42,64,32,434,62
1004,27,58,66,48,82,51,23,435,34
1001,32,17,73,21,43,69,86,430,64
1012,26,23,59,87,93,66,62,447,16
1019,11,69,35,76,2,55,6,471,72
1012,14,73,39,82,67,80,82,470,41
1012,12,36,48,4,8,93,59,468,37
1023,9,52,40,96,48,86,49,483,59
1012,27,32,73,42,7,86,3,432,74
1012,23,81,73,17,13,86,13,438,11
1008,7,92,42,28,55,81,68,484,75
1009,23,58,58,82,68,81,38,445,1
1018,20,78,60,84,66,80,4,445,82
1002,19,68,68,28,62,71,57,452,47
1022,14,12,40,92,46,73,28,459,76
1010,22,97,62,4,25,75,18,445,3
1020,6,89,39,37,21,74,17,486,9
1020,19,98,56,53,22,73,53,454,89
1015,21,71,60,27,74,89,76,441,19
1011,23,2,59,21,74,83,18,440,5
1009,27,71,69,51,65,58,38,435,4
1013,10,46,37,5,12,76,74,472,16
1009,27,18,62,66,89,52,83,442,16
1005,25,56,50,5,67,69,29,442,49
1001,19,69,39,72,49,60,34,456,55
997,31,37,76,86,34,62,94,431,3
1013,14,17,41,67,4,72,77,471,42
1024,15,6,43,71,88,80,37,463,34
1010,25,3,71,58,18,87,36,433,97
1020,7,9,39,37,7,73,26,487,
1027,6,7,41,14,57,86,98,480,19
1018,9,86,38,38,22,85,35,479,56
1011,14,73,40,35,15,65,2,470,3
1012,31,32,74,33,92,36,48,429,57
1012,6,14,38,5,4,75,35,489,26
1013,27,92,69,23,21,44,43,435,62
1014,25,63,58,86,86,52,75,443,84
1006,16,37,36,99,37,90,11,463,76
1014,28,31,65,71,67,59,29,447,26
1005,24,44,69,84,34,80,37,430,3
1013,11,33,41,5,58,88,7,475,1
1019,23,87,63,94,2,44,28,445,11
1020,21,14,48,78,39,86,2,450,35
1015,22,24,60,7,93,62,25,446,14
1008,23,7,70,47,64,83,37,439,4
1016,25,95,59,14,42,67,3,438,46
1013,16,44,43,96,66,76,31,468,57
1014,20,66,41,54,68,79,7,461,55
1017,15,1,39,52,53,72,468,2,
1020,20,51,63,86,65,75,36,447,18
1006,24,1,52,84,47,47,58,444,69
1019,9,38,40,46,29,75,77,474,1
1008,27,49,71,94,25,68,29,428,27
1003,32,84,68,14,59,43,88,425,18
1008,20,83,44,78,51,35,9,460,6
1017,28,69,67,25,71,44,6,436,21
1011,9,35,44,3,2,88,11,476,25
998,17,37,41,23,79,68,44,461,8
1017,14,84,41,48,26,63,42,460,3
1007,27,88,68,94,68,75,68,435,4
1008,17,83,43,72,64,78,72,453,86
1008,7,64,42,28,46,84,29,484,78
1010,25,67,74,78,24,68,87,440,48
1011,23,1,51,3,93,80,5,452,17
1013,27,13,69,45,9,51,16,434,47
1009,26,95,70,8,73,82,95,436,8
1013,19,4,42,44,19,58,63,459,76
1023,13,5,44,92,87,87,17,468,85
1026,11,97,41,4,42,70,75,468,81
1016,18,11,58,95,61,89,17,454,29
1007,24,1,71,29,96,67,56,442,8
1013,20,29,65,27,17,74,94,445,52
1013,21,82,65,27,86,72,81,447,43
1018,29,45,75,6,12,50,68,437,31
1020,10,87,38,38,85,69,78,477,3
1008,17,36,39,53,28,68,87,456,57
1017,24,97,58,95,19,56,24,440,3
1012,13,72,45,9,95,87,41,466,24
1012,26,49,61,86,55,74,24,440,21
1020,8,25,41,26,59,91,84,475,17
1007,12,8,44,9,58,66,6,466,95
1012,17,8,40,12,17,81,5,457,81
1008,31,4,71,6,44,74,77,433,34
1020,8,26,44,71,85,68,82,485,19
1014,21,22,59,15,68,59,71,450,96
1012,26,1,62,91,44,60,91,446,5
1008,19,91,51,19,90,23,449,23,
1015,14,56,40,69,48,73,73,469,31
1022,10,22,41,74,65,83,58,479,1
1008,29,12,67,83,5,46,86,432,46
1005,16,97,39,16,7,69,13,458,59
1003,26,19,49,3,69,65,88,440,13
1019,23,65,66,5,6,78,21,442,9
1007,29,53,70,94,22,70,68,432,43
1020,19,69,56,65,84,72,14,455,7
1013,33,71,69,98,9,42,62,431,99
1005,32,14,75,8,35,49,92,439,22
1009,29,28,77,17,4,76,3,433,14
1021,7,1,37,8,47,62,84,483,95
1009,30,47,68,24,55,64,98,427,94
1002,29,13,47,93,5,49,1,435,61
1013,11,86,39,85,66,92,478,29,
1013,26,16,52,36,62,58,52,453,8
1010,10,56,39,13,19,87,12,463,14
1022,8,58,40,72,4,87,55,480,96
1022,14,26,40,92,7,73,96,460,38
1007,23,48,73,67,7,88,49,437,19
1008,5,54,45,87,69,95,91,478,2
1021,16,98,43,99,65,81,17,456,7
1017,30,8,67,25,6,53,9,434,1
1020,10,63,39,61,72,42,476,99,
1008,30,36,74,87,96,61,87,435,31
1006,29,56,70,4,49,82,95,432,85
1020,19,94,56,53,48,76,43,453,8
999,27,55,64,96,73,57,34,431,33
1006,31,44,79,74,95,56,99,431,69
1015,25,35,74,33,29,77,84,435,66
1015,4,11,38,44,9,81,79,488,5
1010,30,59,70,4,28,50,56,429,13
1017,14,4,48,79,62,75,25,464,9
1021,15,47,44,9,59,81,74,465,61
1011,8,67,40,77,81,89,4,479,23
1008,10,53,37,5,55,99,91,472,32
1021,7,99,41,38,95,78,77,487,57
1012,22,29,45,1,4,51,58,449,8
1015,9,6,36,3,14,58,71,477,38
1012,10,5,37,14,64,75,97,474,16
1012,20,7,49,21,34,56,8,454,25
1004,30,65,71,98,92,63,39,429,85
1017,14,38,40,73,48,90,64,462,98
1008,27,76,71,97,53,86,97,434,4
1019,16,7,40,56,4,50,9,470,84
1027,5,35,35,57,12,80,81,488,65
1021,11,57,41,38,71,61,49,473,94
1013,30,57,73,3,75,73,68,437,42
12,16,40,66,1016,89,23,457,12,
1025,15,6,41,4,48,64,43,457,49
1005,22,12,47,93,5,84,47,443,41
1016,21,33,58,46,17,79,73,445,27
1010,23,65,59,92,19,89,53,436,74
1020,6,8,39,37,24,73,29,487,33
1005,31,35,71,32,99,62,35,434,43
1012,23,99,68,12,92,70,68,437,14
1012,26,53,54,2,9,66,73,439,96
1009,31,59,62,7,3,50,16,442,58
1005,24,6,69,94,47,60,46,436,88
1009,27,28,44,89,2,49,9,441,94
1009,23,69,71,97,62,93,3,438,62
1010,11,46,39,1,17,100,15,470,55
1003,22,61,49,3,51,83,2,441,76
1013,21,84,45,9,94,46,11,450,88
1013,9,2,39,82,19,91,25,482,89
1020,17,75,49,25,86,63,67,454,41
1018,7,53,43,65,58,64,85,479,15
1014,16,76,45,9,28,57,71,458,67
1016,22,69,65,12,35,72,2,446,91
1021,11,91,44,45,39,84,49,466,52
1008,26,63,61,47,18,69,444,16,
1011,6,72,39,85,84,84,66,489,9
1020,9,44,43,99,31,98,6,475,1
67,18,32,45,1022,46,38,471,43,
1020,18,31,62,1,38,79,2,455,24
1007,26,57,44,57,76,50,39,445,49
1000,34,33,69,5,89,37,9,430,56
1025,14,85,40,8,38,53,29,471,78
1010,29,33,64,84,76,53,32,443,15
1019,8,77,40,46,68,77,84,475,
1017,11,35,38,91,93,83,45,474,22
1005,21,38,44,5,69,81,66,445,71
1012,4,88,40,27,66,74,51,491,29
1012,26,66,64,27,83,58,88,437,87
1013,13,4,45,9,87,68,467,44,
1008,29,47,71,32,7,67,437,14,
1006,18,91,56,9,98,84,7,448,24
1005,24,86,44,5,69,66,65,447,2
1029,9,42,41,4,6,87,43,478,12
1018,12,75,42,34,17,94,67,465,44
1008,21,32,49,2,81,85,81,445,65
1008,24,26,67,69,48,66,74,437,4
1012,20,1,43,77,13,65,53,455,66
1012,21,35,59,4,28,95,71,445,83
1019,17,43,63,9,87,92,77,449,36
1012,27,86,65,18,87,55,53,436,26
1015,20,74,59,8,46,76,39,452,99
1007,27,73,67,69,47,59,42,431,72
1018,9,53,41,44,1,80,9,481,83
1006,28,5,79,74,75,87,9,433,8
1009,21,39,52,3,2,79,77,446,87
1015,14,54,46,18,29,94,48,463,3
1014,28,1,65,34,68,46,86,440,77
1007,30,51,70,94,64,59,42,430,91
1018,21,63,60,84,16,77,53,445,93
999,26,39,71,25,8,89,12,430,34
1020,13,84,41,26,92,74,74,462,46
1021,17,27,43,52,37,76,73,460,8
1011,21,89,58,5,31,85,71,441,76
1020,24,2,64,63,49,55,17,449,66
1001,31,92,75,33,81,61,97,436,38
1008,12,97,49,83,69,91,49,452,7
1014,15,89,43,96,2,75,24,467,35
1020,9,25,41,26,51,91,21,473,87
1021,15,99,43,5,34,73,22,460,7
1019,9,6,39,66,64,76,98,479,53
1018,14,48,44,6,73,75,88,467,46
1013,27,15,59,21,49,51,71,440,27
1021,21,68,64,15,9,70,88,454,32
1009,28,16,61,47,19,62,53,442,48
1001,34,33,74,34,74,42,75,435,76
1010,31,98,64,5,49,58,1,439,56
1012,15,21,43,56,92,56,61,467,
1017,13,56,42,34,95,93,83,462,6
998,10,32,42,2,27,99,12,472,16
1011,22,46,58,49,5,70,54,448,46
1011,29,3,68,8,23,56,23,434,11
1008,22,3,44,57,48,67,58,449,74
1009,21,91,70,32,17,90,57,439,29
1022,10,95,43,8,61,63,46,473,2
1011,24,96,68,12,27,70,22,437,62
1010,5,91,39,33,18,95,53,491,49
1019,5,25,40,7,48,67,7,495,23
1006,21,47,60,93,46,87,83,442,75
1019,10,16,39,3,71,81,21,480,74
1016,17,29,44,6,24,77,56,461,38
1006,17,46,40,22,7,91,96,461,74
1025,11,56,40,43,48,74,75,489,54
1024,7,51,41,1,61,97,41,477,61
1015,17,8,38,58,41,73,42,461,49
1004,9,27,42,2,29,95,5,474,93
1010,21,3,48,92,92,65,9,447,89
1015,8,51,40,81,54,83,16,481,2
1014,12,77,41,5,13,86,8,470,68
1017,25,4,65,48,66,57,8,440,92
1001,21,83,41,1,91,41,79,453,38
1006,15,92,41,79,24,79,42,458,68
1007,29,97,69,14,92,66,74,433,82
1032,9,8,41,82,98,67,55,473,72
1016,9,1,38,56,67,63,61,482,37
1013,24,71,61,9,78,85,82,443,39
1016,20,57,63,78,76,74,449,93,
1017,24,32,65,48,55,59,2,443,31
1008,21,41,50,32,61,84,47,443,63
1013,27,9,59,15,2,55,18,438,9
1008,23,49,47,45,46,66,18,446,72
6,20,63,31,1017,63,1,449,68,
1020,13,4,41,58,5,71,17,461,54
1017,23,6,60,8,51,63,2,451,97
1010,21,3,70,2,21,95,69,444,53
1008,5,15,45,87,2,98,36,479,61
1016,17,16,58,86,4,86,39,453,76
1006,24,59,71,94,89,88,52,430,28
1010,23,5,65,94,99,69,73,442,39
1009,10,48,37,5,81,95,26,474,57
1011,15,72,43,2,98,45,74,466,33
1009,25,56,70,32,7,90,63,433,72
1021,13,78,41,16,65,75,77,460,44
1008,29,35,69,4,55,61,78,445,4
1006,32,9,79,74,92,61,5,432,85
1000,25,16,77,3,73,86,4,439,37
3,14,63,40,1018,63,4,457,9,
1012,5,7,40,35,18,91,57,488,8
1003,28,15,74,9,67,76,32,433,63
1006,22,3,57,19,4,75,28,445,1
1007,27,71,72,99,18,72,68,433,1
1012,23,9,45,1,25,43,95,453,45
1001,19,66,42,18,51,95,75,454,46
1021,10,2,52,75,93,73,68,473,9
1006,23,97,68,67,63,76,83,441,53
1015,7,82,38,91,58,90,11,479,15
1003,30,21,69,4,69,62,89,438,18
1013,24,12,62,44,83,88,2,443,3
1016,21,5,63,9,49,91,23,447,45
1017,13,93,40,24,88,88,35,469,25
1022,9,68,41,6,75,87,44,476,67
1021,17,48,49,39,51,84,53,460,1
1006,28,76,66,56,7,62,41,432,3
1013,19,21,53,16,18,81,64,454,1
1008,25,63,72,99,2,86,8,436,64
1015,20,36,66,5,86,87,19,450,23
1018,15,34,40,73,3,86,19,458,55
1023,9,55,40,72,12,68,6,481,8
1022,13,45,41,16,4,82,96,460,57
1011,10,8,39,58,99,87,54,478,24
1007,28,15,72,99,62,70,3,431,83
1021,15,42,40,56,23,59,37,469,33
1012,33,6,74,33,31,35,66,428,62
1011,30,92,78,5,59,62,434,12,
1010,25,24,57,17,44,74,442,77,
1015,13,6,41,2,92,85,5,467,42
2,18,68,46,1002,97,17,447,8,
1006,22,43,69,84,94,75,54,436,19
1008,23,37,70,94,1,81,28,441,56
1012,19,62,43,56,89,37,6,463,33
1012,14,35,39,39,92,82,41,470,53
1009,24,88,63,91,41,77,75,447,28
1013,20,67,63,56,27,79,39,450,7
1006,34,11,73,56,77,45,92,432,78
1009,19,15,44,89,6,74,52,451,9
1007,24,96,70,47,73,76,48,438,23
1001,18,86,42,18,16,98,58,457,7
1005,25,1,60,37,83,72,53,438,44
1018,10,15,43,41,4,82,7,473,43
1012,26,53,65,18,77,64,37,437,39
1011,26,5,46,21,31,55,25,450,86
1015,25,45,74,33,53,80,95,435,12
1023,8,14,39,96,41,88,86,477,5
1007,31,95,67,17,11,61,58,432,6
1007,30,8,73,56,39,75,78,432,43
1014,7,69,43,2,51,85,23,486,46
1011,15,3,43,67,75,95,31,468,14
1009,27,12,70,32,94,52,67,429,8
1010,25,76,74,87,18,65,15,443,7
1010,10,28,39,64,45,74,15,477,65
1006,30,91,79,74,92,56,32,433,84
1013,24,22,61,86,39,80,11,442,65
1008,5,67,45,87,91,93,29,478,44
1011,22,96,68,61,15,76,62,447,18
1014,24,54,65,46,27,40,77,446,26
1015,11,32,36,18,3,64,68,472,67
1016,15,15,53,82,34,62,59,461,6
1005,23,53,50,5,63,78,4,443,71
1004,29,8,66,54,67,64,5,430,16
1017,20,42,60,77,65,87,7,447,85
1009,26,32,69,71,39,67,5,441,25
1016,21,89,74,93,11,77,88,448,47
1018,9,68,41,48,24,71,4,473,31
1017,16,73,54,3,96,59,44,460,54
1018,7,8,39,4,46,66,5,482,31
1014,23,29,65,61,81,70,27,447,67
1007,28,93,72,99,23,64,41,434,45
1013,16,75,42,23,81,84,98,464,87
1017,21,47,58,79,76,97,446,33,
1011,25,98,68,12,36,66,86,439,
1006,16,34,36,99,99,90,6,466,24
1009,25,23,69,34,51,82,87,445,92
1015,12,41,41,44,46,76,9,472,6
1016,24,2,60,77,92,71,65,439,13
1015,7,51,41,66,9,78,31,485,58
1007,31,53,70,94,11,50,4,431,84
1016,17,42,44,6,63,82,15,456,57
1018,6,92,39,61,64,82,27,483,83
1023,8,34,40,72,62,83,75,483,14
1007,32,7,67,83,91,41,61,429,31
1016,27,18,64,79,27,63,7,443,87
1030,9,24,41,4,72,87,36,476,9
1018,13,48,46,18,15,88,38,464,58
1009,22,74,61,2,56,79,41,445,56
1010,28,62,68,24,15,69,31,428,8
1011,25,11,62,26,12,78,1,434,97
1012,11,47,43,67,68,72,51,475,72
1017,29,51,75,6,92,50,61,431,18
1013,15,24,39,39,1,74,24,469,79
1010,22,71,75,23,48,76,86,444,
1009,13,98,39,18,61,89,12,467,97
1011,17,89,40,12,99,76,52,451,79
1016,12,81,44,58,49,80,76,475,5
1011,15,54,41,96,78,97,46,467,1
1016,20,21,54,9,82,66,56,454,23
1028,6,17,36,25,68,90,59,483,77
1007,26,42,59,54,2,76,28,438,5
1028,14,6,44,47,46,69,96,465,24
998,29,53,72,39,47,76,5,431,69
1025,12,95,43,71,63,90,7,469,15
1007,13,26,40,83,97,90,63,472,14
1011,23,48,60,23,91,79,48,437,44
1005,10,16,41,55,69,58,4,477,27
1006,29,13,66,56,63,52,85,439,31
1020,10,8,41,74,24,78,62,479,32
1017,25,21,75,6,19,69,84,445,84
1008,20,72,44,57,96,72,57,449,76
1010,26,17,59,92,1,73,75,444,96
1018,17,48,44,2,89,61,51,457,15
1006,29,67,73,67,48,64,98,429,28
1010,26,38,71,73,4,69,45,431,66
1019,12,8,41,39,45,78,3,477,8
1007,25,3,70,98,22,95,1,440,86
1009,16,55,39,64,7,77,8,465,29
1023,13,18,43,8,18,61,21,467,
1010,21,34,51,61,11,80,7,452,
1008,20,6,44,9,79,70,6,448,51
1025,8,26,39,42,89,70,53,474,72
1013,8,51,38,5,33,64,28,482,39
1028,8,83,36,25,86,85,6,478,45
1023,14,52,44,84,51,88,51,466,88
1014,7,87,43,2,67,83,58,485,61
1019,7,14,44,71,98,71,9,487,71
1020,7,49,36,8,27,85,69,483,26
1011,11,1,40,22,13,83,9,476,69
1017,20,74,58,2,54,70,66,450,4
1009,30,98,67,48,96,58,92,439,39
1007,26,67,70,94,7,56,56,439,13
1010,28,24,71,58,1,67,92,434,1
1014,11,98,39,35,97,98,5,472,43
1010,30,91,69,75,23,59,36,435,7
1012,23,23,63,31,52,75,1,441,5
1010,30,13,78,5,99,61,5,434,14
1014,20,79,65,59,9,77,450,3,
1012,14,38,45,9,95,86,1,464,27
1018,10,7,40,46,65,69,2,470,99
1021,10,48,41,38,97,65,22,481,41
1020,6,86,41,17,12,79,14,490,23
1010,13,25,41,62,8,77,81,457,64
1012,26,92,51,43,29,59,33,437,35
1006,12,76,40,27,58,49,34,474,3
1006,30,2,73,67,31,62,14,428,72
1021,10,72,41,38,6,63,77,478,29
1013,17,39,46,21,94,82,73,454,6
1005,30,97,67,69,61,50,88,425,35
1007,28,16,71,94,69,68,17,430,46
1013,28,84,73,3,99,76,5,435,75
1014,24,48,64,45,69,51,43,452,82
1018,11,23,39,72,46,60,62,475,4
1017,13,52,42,7,91,90,21,464,7
1009,16,61,45,87,34,97,93,455,86
1019,20,96,61,27,99,67,32,448,77
1013,32,15,69,98,3,55,13,429,86
1008,21,24,44,57,72,72,57,447,3
1010,26,49,78,92,82,83,42,434,91
1014,24,1,65,46,17,43,2,443,81
1003,33,15,70,4,72,53,98,430,15
1005,20,13,40,33,31,85,42,460,9
1007,21,41,62,39,84,88,83,452,8
1010,31,35,70,8,11,66,37,432,19
1003,27,44,58,9,86,66,74,442,19
1006,25,21,51,43,43,78,55,439,1
1001,32,6,75,33,96,63,15,432,92
1005,25,4,51,95,56,66,53,449,45
1014,13,31,40,1,81,82,11,468,74
1011,29,68,64,33,2,57,73,441,79
1014,13,46,44,71,51,50,474,6,
1021,18,77,49,39,6,82,95,454,53
1023,13,56,39,18,4,63,82,470,38
1014,20,65,66,51,94,71,83,456,49
1017,26,5,66,5,3,61,34,440,15
1011,23,67,72,24,22,90,45,435,94
1014,8,64,41,66,14,80,44,481,89
1011,20,2,50,9,72,77,63,454,9
1021,5,4,40,64,35,93,63,484,42
1009,23,59,59,43,96,65,8,440,61
1016,17,47,58,16,36,82,26,456,97
1013,6,2,43,65,85,83,53,481,92
1007,30,5,56,9,2,41,96,437,55
1004,29,23,68,14,31,81,46,428,87
1012,26,3,64,44,75,62,24,445,89
1012,26,38,49,5,82,37,19,457,81
1015,5,66,40,62,87,84,97,485,18
1008,27,65,48,41,54,58,25,440,94
1013,17,88,46,97,73,67,78,456,77
1013,11,2,37,5,81,72,81,472,2
1016,20,94,58,16,88,65,43,455,16
1014,20,64,49,21,86,58,47,454,2
1014,19,21,60,7,94,70,2,452,84
1023,13,22,44,92,84,87,99,471,43
1009,33,6,77,17,1,47,53,430,32
1011,27,83,59,57,22,71,5,443,85
1011,21,11,58,49,6,80,44,449,16
1002,30,47,77,3,13,63,7,434,68
1004,15,48,47,83,88,81,68,463,67
1007,20,25,44,78,93,40,16,462,44
1009,15,87,39,31,95,66,78,460,59
1009,22,57,62,4,77,86,5,444,69
1017,12,67,48,14,41,83,63,463,68
1011,21,41,54,2,37,82,28,448,11
1011,30,86,70,32,88,62,68,433,71
1014,23,64,60,95,92,64,91,447,86
1012,5,52,42,85,77,93,82,478,98
1021,11,6,40,64,47,96,16,479,13
1006,24,41,56,9,58,77,94,439,51
1020,10,28,39,61,43,69,9,478,34
1019,14,67,71,14,84,77,72,458,8
1012,25,15,57,32,41,41,84,440,1
1016,21,5,44,58,87,57,58,460,2
1025,7,74,39,96,78,95,81,475,23
1014,21,31,42,8,1,75,77,459,84
1014,29,92,67,22,9,50,62,444,78
1007,4,15,39,9,62,95,69,489,8
1017,15,95,42,24,71,69,32,465,35
1004,25,1,66,56,55,82,46,434,74
1006,27,17,67,17,76,81,59,431,73
1011,28,14,43,21,82,69,32,436,53
1025,13,93,44,47,35,81,54,469,25
1006,25,83,70,47,24,81,83,434,45
1016,24,4,60,32,5,70,96,447,73
1008,26,35,69,48,45,70,47,435,23
1009,30,99,69,82,41,50,84,437,46
1007,25,82,57,19,99,62,95,440,8
1017,28,37,75,6,48,55,19,439,25
